_id,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
64570fb11664a97ad669cf7b,25,025,0002,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-01-24,Parts per million,No Events,24,100.0,Y,0.816667,1.2,22,14.0,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2023-02-05
64570fb11664a97ad669cf7d,25,025,0002,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-01-25,Parts per million,No Events,24,100.0,Y,0.858333,1.2,0,14.0,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2023-02-05
64570fb11664a97ad669cf7f,25,025,0002,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-01-26,Parts per million,No Events,24,100.0,Y,0.675,1.4,23,16.0,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2023-02-05
64570fb11664a97ad669cf81,25,025,0002,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-01-27,Parts per million,No Events,24,100.0,Y,0.816667,1.3,0,15.0,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2023-02-05
64570fb11664a97ad669cf83,25,025,0002,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-01-28,Parts per million,No Events,24,100.0,Y,0.445833,0.8,0,9.0,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2023-02-05
64570fb11664a97ad669cf85,25,025,0002,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-01-29,Parts per million,No Events,24,100.0,Y,0.575,0.8,20,9.0,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2023-02-05
64570fb11664a97ad669cf87,25,025,0002,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-01-30,Parts per million,No Events,20,83.0,Y,0.705,1.2,21,14.0,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2023-02-05
64570fb11664a97ad669cf89,25,025,0002,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-01-31,Parts per million,No Events,24,100.0,Y,0.7875,1.1,14,13.0,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2023-02-05
64570fb11664a97ad669cf8b,25,025,0002,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-02-01,Parts per million,No Events,19,79.0,Y,0.605263,0.8,0,9.0,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2023-02-05
64570fb11664a97ad669cf8d,25,025,0002,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-02-02,Parts per million,No Events,24,100.0,Y,0.791667,1.1,23,13.0,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2023-02-05
